Sample,Survival,Age,Weight (Kg)
16K-008,706,144,0
16K-021,NA,192,3.4
16K-030,776,156,4.8
16K-031,NA,120,7.4
16K-033,NA,132,3
16K-070,709,132,3
16K-072,864,144,4.2
16K-074,77,156,7.18
16K-077,169,168,17
16K-092,84,156,6.9
16K-096,15,144,1.8
16K-097,181,180,3
16K-099,996,144,3.6
16K-100,213,168,10
16K-103,12,108,2.5
16K-105,61,144,5.46
16K-106,10,156,2.18
16K-107,NA,72,3.68
16K-108,NA,108,3.68
16K-112,979,168,4.4
16K-114,18,60,1.8
16K-116,821,156,1.9
16K-121,539,144,4.8
16K-129,102,168,4.7
16K-136,10,144,2.35
16K-142,960,156,5.5
16K-149,NA,156,4.4
16K-153,121,168,3.16
16K-158,491,84,8
16K-162,NA,96,4
16K-183,NA,NA,NA
16K-188,773,180,4.75
16K-190,438,144,3.52
16K-197,111,156,3.2
16K-215,904,84,3.7
16K-217,904,132,4
16K-227,899,84,4.3
16K-231,28,192,3.6
16K-233,318,120,7.14
16K-234,NA,NA,NA
16K-239,33,180,2.8
16K-242,892,144,11
16K-250,11,192,2.5
16K-252,33,120,3.1
16K-262,70,156,4.54
16K-263,NA,144,5.24
16K-271,873,168,2.78
16K-276,515,168,NA
16K-278,668,120,2.4
16K-283,26,180,8.5
16K-290,11,96,6.26
16K-292,40,24,5.6
16K-301,NA,204,9.6
16K-306,47,144,5.6
16K-307,213,144,6
16K-308,845,84,NA
16K-311,10,60,2.3
16K-317,370,144,3.6
16K-318,326,168,4.7
16K-319,564,NA,NA
16K-321,831,144,2.1
16K-336,145,168,6.7
16K-340,200,204,2.6
16K-348,136,180,4.8
16K-351,136,96,4.8
16K-353,792,NA,2.9
16K-354,288,192,3
16K-360,66,180,4.5
16K-365,211,132,5.7
16K-374,15,96,2.4
16K-381,652,168,6.3
16K-400,214,NA,6.4
16K-402,347,168,7.58
16K-405,777,132,3.4
16K-414,606,168,2.63
16K-435,32,156,7.14
16K-436,759,132,10.5
16K-439,119,168,6.5
16K-440,428,168,2.7
16K-442,609,156,7.2
16K-452,38,96,2.8
16K-456,38,NA,3.7
16K-458,67,168,6
16K-471,374,192,9.18
16K-476,341,180,4.4
16K-493,714,168,7
16K-496,87,180,2.96
16K-505,13,192,4.38
16K-522,685,NA,4.1
16K-577,643,120,9
16K-581,156,228,3
16K-601,15,192,12.4
16K-606,630,168,4.1
16K-615,188,72,2.6
16K-630,372,168,7.6
16K-634,10,120,3.8
16K-638,231,107,5.34
16K-642,596,144,3.7
16K-644,7,144,6.5
16K-651,556,168,3.2
16K-667,26,144,3.6
16K-678,463,144,6
16K-685,563,108,3
16K-686,141,192,4.8
16K-688,14,156,1.38
16K-695,8,120,6.28
16K-711,546,144,8
16K-719,542,120,3.3
16K-724,534,144,2.8
16K-725,7,168,3
16K-730,520,108,4.5
16K-737,219,132,14.8
16K-743,330,156,2
16K-755,15,132,6.3
16K-756,26,168,2
16K-771,51,156,5.6
16K-785,18,144,34
